name,mod,rate,time,mean_stderr,trial,std
cube,1,0.1,10.809375394914484,1.1486150610758736,100,11.486150610758736
cube,1,0.2,4.6413957823459695,0.14032306565317787,900,4.209691969595336
cube,1,0.4,2.418240320453991,0.07677912514501772,900,2.303373754350532
cube,1,0.6,1.6436700495415801,0.057693893211612376,800,1.6318297249193454
cube,1,0.8,1.1794279238909515,0.039019622076824696,900,1.1705886623047408
cube,1,1.0,0.962941639151481,0.03332116195171637,900,0.999634858551491
cube,1,1.2,0.8559134171438088,0.029020248882400745,900,0.8706074664720224
cube,1,1.4,0.7284309478046129,0.021681746320485706,900,0.6504523896145712
cube,1,1.6,0.6381341471213325,0.02118561631338846,900,0.6355684894016538
cube,1,1.8,0.5465485585513382,0.018612122030776453,900,0.5583636609232936
cube,1,2.0,0.46748833992799743,0.015578755171202557,900,0.4673626551360767
cube,1,3.0,0.29118916504570563,0.030345675451597692,100,0.3034567545159769
cube,1,4.0,0.24984408603383784,0.007887845726433439,900,0.23663537179300315
cube,1,5.0,0.1993314297898175,0.006755927271015645,900,0.20267781813046934
cube,1,6.0,0.16291686186972362,0.005220630798290368,900,0.15661892394871105
cube,1,8.0,0.12668192745037773,0.0044538408644261345,900,0.13361522593278405
cube,1,10.0,0.10077516651702281,0.0030603466088761373,900,0.09181039826628412
cube,1,20.0,0.04889273663141962,0.004246652857365404,100,0.042466528573654044
cube,1,40.0,0.02264488439844957,0.002400588657749607,100,0.02400588657749607
cube,1,50.0,0.019785501437280528,0.002049532849702274,100,0.02049532849702274
cube,1,80.0,0.014000742075798938,0.001343581377864624,100,0.01343581377864624
cube,1,100.0,0.00979617394355723,0.00033720241860349663,900,0.0101160725581049
cube,1,200.0,0.004645855649720192,0.0004186562637174585,100,0.004186562637174585
cube,1,400.0,0.002080807100749213,0.0002120478143072451,100,0.002120478143072451
cube,1,500.0,0.0018700438574493215,0.0001550014752780132,100,0.001550014752780132
cube,1,800.0,0.001155211469746844,0.0001047360129636817,100,0.0010473601296368171
cube,1,1000.0,0.0010328331515331534,3.242089987709905e-05,900,0.0009726269963129714
cube,2,0.1,69.62498542306709,7.42836148704682,100,74.2836148704682
cube,2,0.2,19.681230320237034,0.6947337662251604,900,20.84201298675481
cube,2,0.4,6.7329120352004725,0.22781592631348568,900,6.834477789404571
cube,2,0.6,4.081206143346391,0.12304508839866624,800,3.4802406559358037
cube,2,0.8,2.591569361725846,0.07070168909907361,900,2.121050672972208
cube,2,1.0,2.027293301268152,0.05771305469415787,900,1.731391640824736
cube,2,1.2,1.587847852680494,0.048368509152200145,900,1.4510552745660044
cube,2,1.4,1.3900324241194837,0.041269364641192796,900,1.2380809392357839
cube,2,1.6,1.099028532503716,0.029308563587103043,900,0.8792569076130913
cube,2,1.8,0.9746810669855052,0.027292710312740723,900,0.8187813093822217
cube,2,2.0,0.8653665669217692,0.0233638298812345,900,0.7009148964370351
cube,2,3.0,0.562421679861925,0.04322693387660456,100,0.4322693387660456
