name,mod,rate,time,conf,case,stderr
xor,1,0.1,10.175109003779959,0.47085018394008266,400,9.417003678801652
xor,1,0.2,5.28998462214448,0.2851585974136978,400,5.7031719482739565
xor,1,0.4,2.546575602444951,0.10912770131173533,400,2.1825540262347065
xor,1,0.6,1.5539783976475678,0.0784934170302966,400,1.569868340605932
xor,1,0.8,1.265444909591491,0.05939296792970377,400,1.1878593585940753
xor,1,0.9,1.06770396418559,0.0526649319600084,400,1.053298639200168
xor,1,0.95,1.0045811486473275,0.04868387740817467,400,0.9736775481634934
xor,1,1.0,1.0376568086057125,0.05670089670617241,400,1.1340179341234482
xor,1,1.05,0.881398340753293,0.044042465051008776,400,0.8808493010201756
xor,1,1.1,0.8885740997721097,0.045946553716974994,400,0.9189310743394998
xor,1,1.2,0.7842322073443451,0.03702337577514985,400,0.740467515502997
xor,1,1.4,0.7276551641229538,0.037021144960233586,400,0.7404228992046717
xor,1,1.6,0.600017430592095,0.027828003836989877,400,0.5565600767397976
xor,1,2.0,0.5222626977193413,0.026834781178132407,400,0.5366956235626481
xor,1,4.0,0.28030461896925524,0.014573938306110357,400,0.29147876612220713
xor,1,8.0,0.12360050050590946,0.006163161275328949,400,0.12326322550657898
xor,1,10.0,0.09607498739370143,0.004701581034065435,400,0.0940316206813087
xor,2,0.1,220.76633066340392,10.964439405240595,400,219.2887881048119
xor,2,0.2,58.31050454208776,3.232605406444515,400,64.65210812889029
xor,2,0.4,17.03375308353774,0.9268635865485932,400,18.537271730971867
xor,2,0.6,9.038054574043523,0.42864520039182297,400,8.57290400783646
xor,2,0.8,5.111569143084355,0.2129115650912622,400,4.258231301825244
xor,2,0.9,4.37198816365426,0.2285067751836387,400,4.570135503672774
xor,2,0.95,4.321791956963642,0.18814704642011204,400,3.762940928402241
xor,2,1.0,4.17103330136119,0.2026374634570011,400,4.052749269140022
xor,2,1.05,3.895876162031442,0.17775367641010376,400,3.555073528202075
xor,2,1.1,3.551103350845366,0.15194715641923245,400,3.0389431283846493
xor,2,1.2,3.227433700435794,0.1456230320786524,400,2.9124606415730483
xor,2,1.4,2.391526968504609,0.10233436906496039,400,2.0466873812992077
xor,2,1.6,2.0217758244985213,0.08879108183352882,400,1.7758216366705764
xor,2,2.0,1.6358373087548017,0.07176333523544749,400,1.4352667047089498
xor,2,4.0,0.6138397532460419,0.023496675590618504,400,0.4699335118123701
xor,2,8.0,0.284282950057473,0.01142358083496595,400,0.22847161669931898
xor,2,10.0,0.2243330287748201,0.00841259552639765,400,0.168251910527953
xor,4,0.1,24605.488795451336,1257.329505432767,400,25146.590108655342
xor,4,0.2,1800.5749572253478,91.36630034773161,400,1827.3260069546322
xor,4,0.4,182.10841581229576,8.689461113758899,400,173.78922227517796
xor,4,0.6,58.94419481285279,2.739391705519892,400,54.787834110397846
xor,4,0.8,25.669646221577796,1.0699582279961612,400,21.399164559923225
xor,4,0.9,20.47166996964248,0.8604386300562022,400,17.208772601124046
xor,4,0.95,18.29379325908867,0.7823501411974692,400,15.647002823949382
xor,4,1.0,15.27207096086014,0.6711639635518076,400,13.423279271036153
xor,4,1.05,14.66794447968537,0.6459636194570758,400,12.919272389141517
xor,4,1.1,13.194431862321972,0.5325824667603554,400,10.651649335207107
xor,4,1.2,10.606599571271294,0.4100026201852447,400,8.200052403704895
xor,4,1.4,7.596021179344304,0.3188563110467556,400,6.3771262209351125
xor,4,1.6,6.318202088433209,0.2635878271778586,400,5.2717565435571725
xor,4,2.0,4.044658127054799,0.15083881923934128,400,3.0167763847868256
xor,4,4.0,1.4457921597907255,0.046503006259201105,400,0.9300601251840221
xor,4,8.0,0.5885857683736548,0.01688665238692274,400,0.3377330477384548
xor,4,10.0,0.4814635404695735,0.014073502987787926,400,0.2814700597557585
xor,8,0.2,1177188.340606563,57313.17775610297,400,1146263.5551220593
xor,8,0.4,8930.339395314793,440.10502806164476,400,8802.100561232895
xor,8,0.6,655.0557986353057,28.235132929741997,400,564.7026585948399
xor,8,0.8,157.16962611278328,7.450608789847128,400,149.01217579694256
xor,8,0.9,90.45799346796832,4.154046111507762,400,83.08092223015524
xor,8,0.95,79.67678637702934,3.1833645669306234,400,63.66729133861247
xor,8,1.0,61.68607068658302,2.5642936584455667,400,51.28587316891134
xor,8,1.05,50.72643547878644,1.8277822557358367,400,36.55564511471673
xor,8,1.1,41.91279810545473,1.6820644579849158,400,33.64128915969832
xor,8,1.2,33.35592918934808,1.2075807455250034,400,24.15161491050007
xor,8,1.4,23.068094020941018,0.8088367966253348,400,16.176735932506695
xor,8,1.6,16.621012483318694,0.5367678761362892,400,10.735357522725783
xor,8,2.0,9.82607190059238,0.29223026303454586,400,5.844605260690917
xor,8,4.0,3.178354689736506,0.07791338099624079,400,1.5582676199248158
xor,8,8.0,1.2446595571396273,0.026447732943685315,400,0.5289546588737063
xor,8,10.0,0.9707454074450772,0.02219805289287165,400,0.443961057857433
xor,16,0.6,40016.09228551814,1966.8303031672924,400,39336.60606334585
xor,16,0.8,1445.2128418591194,58.260754544709876,400,1165.2150908941976
xor,16,0.9,520.6837847655997,21.24976484932566,400,424.9952969865132
xor,16,0.95,340.06677714040796,14.464943584970014,400,289.29887169940025
xor,16,1.0,263.14115860072263,10.397998356762846,400,207.95996713525693
xor,16,1.05,189.6150670150228,7.405024417383078,400,148.10048834766155
xor,16,1.1,147.69693879011064,5.352543538354821,400,107.05087076709643
xor,16,1.2,93.17239380022308,2.8414125550383362,400,56.82825110076672
xor,16,1.4,55.784975031565416,1.638855784697796,400,32.77711569395592
xor,16,1.6,39.089398571115886,1.0007961722732401,400,20.015923445464804
xor,16,2.0,21.850129058676984,0.4429016557127693,400,8.858033114255386
xor,16,4.0,6.632635183973354,0.11423207682490646,400,2.284641536498129
xor,16,8.0,2.5409299887108743,0.03613728543837501,400,0.7227457087675002
xor,16,10.0,1.981909097740964,0.030609489599134572,400,0.6121897919826914
xor,32,0.8,66859.1572188542,3398.293183503359,400,67965.86367006718
xor,32,0.9,4792.851295276635,239.8836894735003,400,4797.673789470006
