name,mod,rate,time,mean_stderr,trial,std
chain,1,0.001,927.9062663887581,101.34622733547992,100,1013.4622733547992
chain,1,0.002,494.6579422663378,24.401092049992176,400,488.0218409998435
chain,1,0.004,240.68377237227563,11.333691953246325,400,226.67383906492648
chain,1,0.008,124.05872164198237,5.888164420537675,400,117.76328841075349
chain,1,0.01,110.47462744106159,9.653358503686505,100,96.53358503686505
chain,1,0.02,49.77132989905482,2.461434571335828,400,49.228691426716566
chain,1,0.04,25.934806499127554,1.3182056273461122,400,26.364112546922243
chain,1,0.05,20.66808713756185,1.8136839346715976,100,18.136839346715977
chain,1,0.08,12.620995095202824,0.6610503637558658,400,13.221007275117316
chain,1,0.1,9.950910749690454,0.5246330670899884,400,10.492661341799767
chain,1,0.2,4.580096939158914,0.20003942064534186,400,4.000788412906838
chain,1,0.4,2.5816173075318547,0.12086260151784833,400,2.4172520303569667
chain,1,0.5,2.110959392797406,0.0994952980229212,400,1.9899059604584242
chain,1,0.6,1.715643798829866,0.08213244596264022,400,1.6426489192528044
chain,1,0.7,1.497996722457315,0.0795982319501134,400,1.591964639002268
chain,1,0.8,1.2982288738050611,0.024449898540656802,2600,1.2467050976417278
chain,1,0.9,1.117422646668629,0.021702680665081,2600,1.1066239220852085
chain,1,0.95,1.0454840503923515,0.034705562589984966,900,1.041166877699549
chain,1,1.0,1.018173689141184,0.019725886344036773,2600,1.0058267939115695
chain,1,1.05,0.9487928030407201,0.018403262798117125,2600,0.9383859612137537
chain,1,1.1,0.9477858555579143,0.019015073419998314,2600,0.9695823042097089
chain,1,1.2,0.8145213998776119,0.014835385287588404,2600,0.7564591907308058
chain,1,1.3,0.7667165291054868,0.03707905429305901,400,0.7415810858611802
chain,1,1.4,0.7239576067814362,0.03436269428016868,400,0.6872538856033736
chain,1,2.0,0.49293175141781903,0.025800096003219093,400,0.5160019200643818
chain,1,4.0,0.2645788046355307,0.01309509944302828,400,0.2619019888605656
chain,1,8.0,0.12093789168037981,0.005386176847465429,400,0.10772353694930858
chain,1,10.0,0.10695348768062946,0.005804104896245156,400,0.11608209792490312
chain,1,20.0,0.041071748817127274,0.005137317671701074,100,0.051373176717010735
chain,1,40.0,0.02331265340506152,0.0022237260316399945,100,0.022237260316399946
chain,1,50.0,0.01726684041975871,0.0018246909975593321,100,0.01824690997559332
chain,1,80.0,0.012408351025239883,0.001354859279385436,100,0.013548592793854359
chain,1,100.0,0.009509455382081282,0.0004344027031765051,500,0.009713539739123292
chain,1,200.0,0.004997922507497716,0.0005501414775017905,100,0.0055014147750179045
chain,1,400.0,0.0022772743430235264,0.00020688700849523235,100,0.0020688700849523234
chain,1,500.0,0.0018698117165402712,0.00016571908536557704,100,0.0016571908536557704
chain,1,800.0,0.0013894093064222887,0.00015917312326588597,100,0.0015917312326588597
chain,1,1000.0,0.0010656609014959998,4.9072743017066704e-05,500,0.0010972998922853929
chain,2,0.001,1176541.3423126722,114924.76854075084,100,1149247.6854075084
chain,2,0.002,233857.05668468348,11749.0708193538,400,234981.416387076
chain,2,0.004,58608.15446469538,2843.3515265147407,400,56867.03053029481
chain,2,0.008,16586.768785028267,836.3011931377234,400,16726.023862754468
chain,2,0.01,9465.672235905486,825.2226136091849,100,8252.22613609185
chain,2,0.02,2553.6137176477114,128.87661402603737,400,2577.5322805207475
chain,2,0.04,634.7969181828386,27.208813982972995,400,544.1762796594599
chain,2,0.05,409.5855950926059,46.110355293575225,100,461.10355293575225
chain,2,0.08,164.8683595560022,7.023234331068728,400,140.46468662137457
chain,2,0.1,125.9363486614209,6.184397337184382,400,123.68794674368765
chain,2,0.2,33.45992228988683,1.7595997856223158,400,35.191995712446314
chain,2,0.4,11.16430038940369,0.5246350909700007,400,10.492701819400015
chain,2,0.5,8.121821832418831,0.37869973710960764,400,7.573994742192153
chain,2,0.6,5.796039386753112,0.2614985267614602,400,5.229970535229204
chain,2,0.7,4.7940165602067975,0.21631429137780928,400,4.326285827556186
chain,2,0.8,4.114053042958868,0.06987711872251695,2600,3.563047919197537
chain,2,0.9,3.4913207505013397,0.061192741462737954,2600,3.1202298280873912
chain,2,0.95,3.1874345176977283,0.09563479042642935,900,2.8690437127928803
chain,2,1.0,2.9493992795068347,0.049874798158564576,2600,2.5431256904702226
chain,2,1.05,2.8734405955040017,0.048355086080541176,2600,2.4656352750613832
chain,2,1.1,2.6609534751435255,0.04312729767605401,2600,2.1990693241872417
chain,2,1.2,2.383815697664621,0.0404383937163131,2600,2.0619615865782834
chain,2,1.3,2.0561908814008807,0.09235241448141497,400,1.8470482896282994
chain,2,1.4,1.9373250127645931,0.08028873599935828,400,1.6057747199871655
chain,2,2.0,1.1747714255318786,0.04788313083101658,400,0.9576626166203316
chain,2,4.0,0.536566579099999,0.019988978365209322,400,0.39977956730418646
chain,2,8.0,0.28544984989094235,0.010418115290342199,400,0.20836230580684398
chain,2,10.0,0.20923164459785457,0.00754543647591557,400,0.1509087295183114
chain,2,20.0,0.09878448312352049,0.008475062025707955,100,0.08475062025707955
chain,2,40.0,0.05155165658457992,0.0039349799534188785,100,0.03934979953418878
chain,2,50.0,0.042151714280685135,0.0026343793992985014,100,0.026343793992985014
chain,2,80.0,0.024391946890324707,0.0016916415948635233,100,0.016916415948635233
chain,2,100.0,0.020388874322064047,0.0006773879496056645,500,0.015146855024574678
chain,2,200.0,0.009555581584050912,0.0007132113692793052,100,0.007132113692793052
chain,2,400.0,0.003941400822687718,0.0002580686980719942,100,0.0025806869807199423
chain,2,500.0,0.004094239683702002,0.00030179018931168934,100,0.0030179018931168933
chain,2,800.0,0.002515429647475612,0.00015531853971427194,100,0.0015531853971427194
chain,2,1000.0,0.0019732792759388426,5.99035864083963e-05,500,0.0013394849130520662
chain,4,0.01,112647346.6610072,11111926.073972117,100,111119260.73972118
chain,4,0.02,6935397.086175511,653678.3848319997,100,6536783.848319996
chain,4,0.04,435212.748294916,21431.20370793823,400,428624.0741587646
chain,4,0.05,182655.9303305945,9028.250498648844,400,180565.00997297687
chain,4,0.08,27674.522153923233,1404.6283435643006,400,28092.566871286013
chain,4,0.1,12321.244771239824,602.7674577008041,400,12055.349154016083
chain,4,0.2,973.2943356024894,52.226941704683796,400,1044.5388340936759
chain,4,0.4,105.25525819935443,4.915490577365174,400,98.30981154730347
chain,4,0.5,50.217741969103145,2.3292632232295536,400,46.58526446459107
chain,4,0.6,28.507992867516922,1.3045705968765737,400,26.091411937531475
chain,4,0.7,20.752031937049352,0.8768552562149973,400,17.537105124299945
chain,4,0.8,15.901789579475269,0.28095723151693086,2600,14.326064059898362
chain,4,0.9,12.64066808007238,0.21841475658707413,2600,11.137011058941091
chain,4,0.95,11.319426817717822,0.32677279533479153,900,9.803183860043745
chain,4,1.0,9.9753336632044,0.018860566219095765,202600,8.489350158407415
chain,4,1.05,9.003691818285214,0.14681712279392317,2600,7.486233740557623
chain,4,1.1,8.260537086472931,0.1338405046819766,2600,6.824553450825053
chain,4,1.2,7.0461110452185425,0.11197774667961156,2600,5.70976715407489
chain,4,1.3,6.326118698487005,0.24179816472807378,400,4.835963294561475
chain,4,1.4,5.664668978564291,0.20002930026175414,400,4.000586005235083
chain,4,2.0,3.1119963290815935,0.10910399781488733,400,2.1820799562977466
chain,4,4.0,1.1815275672267453,0.037576188646113916,400,0.7515237729222783
chain,4,8.0,0.5451555301561765,0.013731119846761614,400,0.27462239693523227
chain,4,10.0,0.4236479138786416,0.011668884207406565,400,0.23337768414813131
chain,4,20.0,0.19742338290663014,0.00996594299146476,100,0.0996594299146476
chain,4,40.0,0.10586241785405098,0.005644432388125983,100,0.056444323881259834
chain,4,50.0,0.07846905264433818,0.004014237263999772,100,0.04014237263999772
chain,4,80.0,0.05218911615073104,0.0023212128688497647,100,0.023212128688497646
chain,4,100.0,0.03883790629400739,0.0008882168663874106,500,0.019861132920040984
chain,4,200.0,0.021237612450644403,0.0011662571566434428,100,0.011662571566434427
chain,4,400.0,0.01002526707674723,0.000525568559790907,100,0.00525568559790907
chain,4,500.0,0.007749534013166798,0.0004009693550426223,100,0.004009693550426223
chain,4,800.0,0.005156384399286316,0.0002438914558764182,100,0.002438914558764182
chain,4,1000.0,0.0039921538445315576,8.512264817871909e-05,500,0.0019034002775241456
chain,8,0.2,693237.420936478,66655.28067224626,100,666552.8067224625
chain,8,0.4,4554.292315857052,297.3943189962725,200,4205.7907929723915
chain,8,0.5,1118.6420032348176,119.28711841122947,100,1192.8711841122947
chain,8,0.6,321.2634300476544,28.008508597258242,100,280.0850859725824
chain,8,0.7,145.9889995290028,15.35801986917426,100,153.5801986917426
chain,8,0.8,89.29773807945261,1.6767804433533013,2300,80.41556507908041
chain,8,0.9,50.84759660151102,0.9309790021127768,2300,44.64818445874674
chain,8,0.95,43.38487922506368,1.2271386710377394,900,36.81416013113218
chain,8,1.0,36.582492509866896,0.6388880610890688,2300,30.63999503239099
chain,8,1.05,31.02228965186012,0.5105772601614108,2600,26.034434127597738
chain,8,1.1,26.703918219928227,0.4255317534884557,2300,20.40778597550473
chain,8,1.2,20.682654965657843,0.3251979897875351,2300,15.595947707409888
chain,8,1.3,17.466289973124418,1.5511992246385848,100,15.511992246385848
chain,8,1.4,13.039027879342877,0.7785042945118615,100,7.785042945118615
chain,8,2.0,7.055048564329593,0.39334840381479247,100,3.933484038147925
chain,8,4.0,2.6562824577009896,0.10964046499705433,100,1.0964046499705433
chain,8,8.0,1.060959205959654,0.039288082109180125,100,0.3928808210918012
chain,8,10.0,0.8505705329812981,0.03286433022982989,100,0.32864330229829886
chain,8,20.0,0.39042511115335105,0.012681140914326547,100,0.12681140914326547
chain,8,40.0,0.20826008258879614,0.007079522149535604,100,0.07079522149535604
chain,8,50.0,0.15816210414659962,0.005547834090325687,100,0.055478340903256866
chain,8,80.0,0.10373822725508808,0.003541106228210415,100,0.03541106228210415
chain,8,100.0,0.07774176425481998,0.001868819408907428,200,0.026429097537029555
chain,8,200.0,0.04070742713671017,0.0013496916363511563,100,0.013496916363511562
chain,8,400.0,0.020974171840150838,0.0006405781453694313,100,0.006405781453694312
chain,8,500.0,0.01620795928967095,0.0005567111083450471,100,0.005567111083450471
chain,8,800.0,0.01008045904726556,0.0003731492660202437,100,0.003731492660202437
chain,8,1000.0,0.007766974876442434,0.00026202461551032145,100,0.0026202461551032147
chain,16,0.5,246853.7593481537,19206.66008736561,100,192066.6008736561
chain,16,0.6,22887.590518673296,2107.227515703544,100,21072.27515703544
chain,16,0.7,2849.0015195889346,248.00411452605945,100,2480.0411452605945
chain,16,0.8,736.4782462050717,44.21612841903481,300,765.8458093575844
chain,16,0.9,305.35122454407747,18.309284140021113,300,317.1261038073161
chain,16,0.95,180.74822171837147,8.77007244334377,400,175.4014488668754
chain,16,1.0,135.66822004917515,6.1426455216943765,300,106.39374136460093
chain,16,1.05,99.91961445223541,5.115831261986101,300,88.60879668709136
chain,16,1.1,77.93681408372626,3.207383398537862,300,55.55351005620515
chain,16,1.2,56.39180359774877,2.103622127819708,300,36.435804053098856
chain,16,1.3,39.05680889058636,2.228535000860708,100,22.28535000860708
chain,16,1.4,32.78587459049698,1.7121494206239207,100,17.121494206239205
chain,16,2.0,15.85148621150687,0.6305793070968703,100,6.3057930709687025
chain,16,4.0,5.356765184346691,0.1792761950614122,100,1.7927619506141221
chain,16,8.0,2.3058731321895967,0.05736445526588046,100,0.5736445526588045
chain,16,10.0,1.706603131110178,0.04932527882320747,100,0.4932527882320747
chain,16,20.0,0.84713473747943,0.021192031003029802,100,0.21192031003029801
chain,16,40.0,0.3949293522406596,0.010624143301186684,100,0.10624143301186684
chain,16,50.0,0.3292900123226965,0.006917195678251641,100,0.0691719567825164
chain,16,80.0,0.20359035867330236,0.004740168553954613,100,0.047401685539546136
chain,16,100.0,0.15790044018497165,0.0028064846956125113,200,0.03968968719127741
chain,16,200.0,0.08380607000632466,0.002207621452367791,100,0.02207621452367791
chain,16,400.0,0.039281822476988346,0.0008965026393844337,100,0.008965026393844337
chain,16,500.0,0.03216752039146753,0.0008332882204022992,100,0.008332882204022993
chain,16,800.0,0.01954011312189194,0.0005181178139457566,100,0.005181178139457566
chain,16,1000.0,0.016245341300783686,0.0003786731689270077,100,0.003786731689270077
chain,32,0.8,33822.63374902613,3017.7181514752765,100,30177.181514752767
chain,32,0.9,2335.7017354291133,182.53068293512206,100,1825.3068293512206
chain,32,0.95,1059.4957201187613,46.99695273706337,400,939.9390547412673
chain,32,1.0,466.0403723061409,41.2346830565401,100,412.346830565401
chain,32,1.05,307.0640467752951,23.08675131036034,100,230.86751310360341
chain,32,1.1,231.71136317874053,15.95620498265481,100,159.5620498265481
chain,32,1.2,139.211930191314,7.278346948959384,100,72.78346948959384
chain,32,1.3,99.76420530930777,4.746268320392085,100,47.46268320392085
chain,32,1.4,77.39123325512642,3.163095673307337,100,31.630956733073372
chain,32,2.0,32.17715498270153,0.8385899621168884,100,8.385899621168884
chain,32,4.0,10.433566755576358,0.2647915534531238,100,2.6479155345312377
chain,32,8.0,4.390848768995825,0.08841423647164057,100,0.8841423647164057
chain,32,10.0,3.351093771949747,0.06534937081526827,100,0.6534937081526827
chain,32,20.0,1.651068407863273,0.02522577872677922,100,0.2522577872677922
chain,32,40.0,0.8427253142044503,0.013072140699483016,100,0.13072140699483015
chain,32,50.0,0.6405963803187444,0.010836787128805687,100,0.10836787128805687
chain,32,80.0,0.4078728520605749,0.006589825759812559,100,0.06589825759812559
chain,32,100.0,0.32561028826469207,0.005600103658169063,100,0.05600103658169063
chain,32,200.0,0.1585774082779025,0.0026438155941968097,100,0.0264381559419681
chain,32,400.0,0.08039232320294827,0.0013297979716681695,100,0.013297979716681695
chain,32,500.0,0.0647129129585993,0.0011251789466940239,100,0.011251789466940238
chain,32,800.0,0.04015862365407643,0.0008239233140998607,100,0.008239233140998607
chain,32,1000.0,0.03184010904387162,0.0005042019436152325,100,0.005042019436152325
chain,64,0.9,94900.79339815541,8727.59349601713,100,87275.9349601713
chain,64,0.95,8607.819832261801,404.5320146364967,400,8090.640292729933
chain,64,1.0,2010.5028981427445,80.00287342664345,400,1600.0574685328688
chain,64,1.05,868.6326630352743,27.19590769570466,400,543.9181539140932
chain,64,1.1,540.4178347689191,14.013508471068732,400,280.27016942137465
chain,64,1.2,306.09406449531366,5.94822361098494,400,118.96447221969879
chain,64,1.3,203.6626006396248,7.126367937082972,100,71.26367937082972
chain,64,1.4,158.57374531076243,5.1624498308492335,100,51.624498308492335
chain,64,2.0,62.88574516341384,1.2986472701995249,100,12.986472701995249
chain,64,4.0,21.18025665682939,0.3505920602288499,100,3.505920602288499
chain,64,8.0,8.962594041167556,0.1229955529733968,100,1.229955529733968
chain,64,10.0,7.0754438768563,0.07694303065847467,100,0.7694303065847468
chain,64,20.0,3.403057785201581,0.047173923713517835,100,0.47173923713517835
chain,64,40.0,1.643639431814622,0.017642603910041518,100,0.17642603910041518
chain,64,50.0,1.3004510423978832,0.01700101093466755,100,0.1700101093466755
chain,64,80.0,0.7935075495838096,0.010925834351421521,100,0.1092583435142152
chain,64,100.0,0.6455314536621022,0.005476865810098959,200,0.07745457907939457
chain,64,200.0,0.32751480472868055,0.0040493308012095565,100,0.040493308012095566
chain,64,400.0,0.15774468712942671,0.0022647798194281457,100,0.022647798194281456
chain,64,500.0,0.12715184258293058,0.0015314243362101298,100,0.015314243362101299
chain,64,800.0,0.07938162036631442,0.0010315253780607127,100,0.010315253780607127
chain,64,1000.0,0.06342560210013011,0.0007746814273991274,100,0.007746814273991274
chain,128,0.95,307894.0538114209,12989.025254904798,500,290443.4343142866
chain,128,1.0,8730.484641619578,254.7885207175774,800,7206.507630715526
chain,128,1.05,2215.813418954838,52.94340771284683,400,1058.8681542569366
chain,128,1.1,1183.4253496424774,22.921599356096173,400,458.4319871219235
chain,128,1.2,626.9823329356192,8.158995014209063,400,163.17990028418126
chain,128,1.3,428.37624982973136,10.173448658261984,100,101.73448658261984
chain,128,1.4,311.3042701530641,6.600572511057899,100,66.005725110579
chain,128,2.0,128.58542694951012,2.1749084300042205,100,21.749084300042206
chain,128,4.0,42.16997717404111,0.44261975932499975,100,4.426197593249998
chain,128,8.0,18.216487228113625,0.18148026601490289,100,1.8148026601490288
chain,128,10.0,14.157623020085712,0.15916996958927296,100,1.5916996958927296
chain,128,20.0,6.724638454644804,0.06364143994044773,100,0.6364143994044773
chain,128,40.0,3.3354075019887297,0.031248734445417602,100,0.31248734445417603
chain,128,50.0,2.628642048591169,0.02250509003445481,100,0.22505090034454808
chain,128,80.0,1.6035759197360278,0.01453344360326942,100,0.1453344360326942
chain,128,100.0,1.296455856229166,0.011327017510937301,100,0.11327017510937301
chain,128,200.0,0.6387873965903608,0.00478765198266348,100,0.047876519826634795
chain,128,400.0,0.31427875715732084,0.002475413304362694,100,0.02475413304362694
chain,128,500.0,0.2562917298616769,0.0022551210531161006,100,0.022551210531161006
chain,128,800.0,0.16060027835627552,0.001488934855619559,100,0.01488934855619559
chain,128,1000.0,0.12741926958610492,0.0011067465200586847,100,0.011067465200586848
chain,256,1.0,33725.1239362031,990.1184586817293,800,28004.77905247293
chain,256,1.05,4558.003565148358,95.77672988689805,400,1915.5345977379611
chain,256,1.1,2497.638782060547,35.70158006891115,400,714.031601378223
chain,256,1.2,1247.9921741599812,13.082080863208377,400,261.64161726416756
chain,256,2.0,257.7275799446778,2.6858453448572766,100,26.858453448572767
chain,256,4.0,85.40090418360236,0.6698270993767865,100,6.698270993767865
chain,256,8.0,36.78286647676874,0.294470018152838,100,2.94470018152838
